# §136: тексты дневника колонистки. Формат: ключ<TAB>English<TAB>Русский
# Залить: python3 Tools/i2_add_terms.py _ArtSource/Journal/journal_lines.tsv
# Ключ: journal.<Событие>.<did|got>[.<регистр>][.<отношение>].v<N>
#   регистр:    plain weary bitter tender hurt dying
#   отношение:  neutral beloved friend cold hated
#   {0} — имя второй участницы, {1} — предмет/часть тела/причина
# Варианты .v0 .v1 ... обязаны идти ПОДРЯД: поиск идёт до первой дырки.

journal.button	Journal	Дневник
panel.journal	Journal	Дневник
journal.subtitle	{0}'s own words	Её словами
journal.empty	The first page is still blank.	Первая страница ещё пуста.
journal.unread	new	новых
journal.me	I	Я
journal.quiet.v0	Nothing much happened.	Ничего особенного не случилось.
journal.quiet.v1	A quiet hour. For once.	Тихий час. Хоть один.
journal.quiet.v2	Nothing worth remembering.	Ничего, что стоило бы запомнить.
journal.quiet.v3	The island let me be today.	Сегодня остров меня не трогал.
journal.quiet.span.v0	{0} hours went by, and nothing happened at all.	{0} часа прошли, и ничего не случилось.
journal.quiet.span.v1	{0} quiet hours in a row. I almost don't trust it.	{0} тихих часа подряд. Я почти не верю.
journal.quiet.span.v2	{0} hours of nothing. I'll take it.	{0} часа пустоты. И на том спасибо.
journal.quiet.span.v3	{0} hours, and not one thing worth writing down.	{0} часа — и ни одной строчки, которую стоило бы писать.
journal.quiet.chores.v0	Just the usual: {0}.	Как всегда: {0}.
journal.quiet.chores.v1	I kept my hands busy: {0}.	Руки были заняты: {0}.
journal.quiet.chores.v2	Only chores — {0}.	Одна работа — {0}.
journal.quiet.chores.v3	{0}. That was the whole day.	{0}. Вот и весь день.
journal.chore.TreeChopped	felled a tree	валила дерево
journal.chore.CrownChopped	cut down a crown	срубала крону
journal.chore.LogSplit	split logs	колола брёвна
journal.chore.BoulderBroken	broke stone	била камень
journal.chore.CoconutProcessed	husked coconuts	чистила кокосы
journal.chore.CoconutDrank	drank coconut water	пила кокосовую воду
journal.chore.CoconutEaten	ate coconut	ела кокос
journal.chore.MeatEaten	ate meat	ела мясо
journal.chore.MeatRoasted	roasted meat	жарила мясо
journal.chore.MeatHungOnSpit	hung meat on the spit	вешала мясо на вертел
journal.chore.BottleFilled	filled the bottle	наполняла бутылку
journal.chore.DrankBottle	drank from the bottle	пила из бутылки
journal.chore.FireLit	lit the fire	разжигала костёр
